Date,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH
1,1030.5,1032.9,1028.2,1,4.8,-1.2,47,22,1029.5,1032.5,1026.5,-0.6,2.2,-3.2,60,62,1019.6,1022.3,1016.7,9.4,17.3,0.9,47,21,1021.4,1023.8,1017.5,10.9,15.1,5.5,63,33,1008.1,1009.6,1006.7,22.1,27.9,17.5,72,39,1006.4,1008.9,1004.5,22.3,27.1,19.3,58,34,1005.2,1007.1,1003.3,29.9,34.6,24.2,75,52,1006.2,1007,1005,30.2,33.8,27.1,70,54,1008.1,1009.4,1007.1,23.8,28.5,21.1,77,53,1015.9,1017.2,1014.6,20.6,25.3,16.6,76,54,1020,1021.8,1017.9,16.5,18.5,14.4,88,72,1023.2,1026.5,1020.2,11.1,17.3,6.6,59,29
2,1031.4,1033.5,1029,0.1,5.4,-2.9,54,23,1024.4,1027.8,1022,-0.2,0.5,-0.7,23,92,1018.2,1021.4,1016.9,12.1,18.2,6.2,47,15,1016.9,1019,1014.9,13.9,19.5,9.4,56,25,1008.8,1011.1,1006.7,21.2,27.8,16,66,38,1007.1,1008.5,1006,23.7,29.7,19.7,71,36,1003.1,1004.6,1001.9,29.4,33.3,25.5,70,55,1004.5,1006.1,1003.2,29.2,32.4,27.3,75,59,1010.2,1011.5,1009.3,24.6,29.4,20.9,70,40,1015.8,1017.4,1014.5,21,26,16.2,76,50,1017.7,1019.5,1015.7,16,17.9,14.8,83,68,1021.1,1022.9,1019.5,11.3,18.2,4.6,61,29
3,1028.4,1030.7,1026,1.5,9.6,-3.9,70,21,1025.6,1027.8,1023.7,-0.2,4,-3.4,83,50,1023.1,1024.8,1021.2,8.4,13.9,3.6,42,19,1017.7,1019.5,1014.8,15.1,20.7,8.2,49,18,1007.5,1009.4,1004.7,22.9,30.2,17.2,65,39,1008.4,1010.1,1006,23.8,28.8,19.6,62,43,1004.9,1006.7,1003.2,29.3,35,24.8,73,50,1005.5,1006.7,1004.1,28.6,32.5,26.5,81,61,1010.8,1012,1008.8,24.6,29.2,19.2,66,42,1014.7,1016,1013,22.2,25.6,18,80,59,1018.8,1020.6,1017.3,16.7,19.8,14.8,88,68,1017.6,1020.3,1014.3,13.7,18.2,7.7,70,45
4,1025.8,1027.8,1022.7,3.4,11.2,-2,78,24,1026.9,1028.9,1025.9,0,5.7,-4.1,82,47,1025.2,1027.2,1023.5,6.8,13.1,0.9,52,17,1016.7,1018.9,1015.2,14.8,17.8,12.7,49,29,1004.3,1009.3,1001.1,20.5,22.7,17.9,80,65,1006.6,1008.8,1004.2,22.6,25.7,19.6,66,40,1004.1,1005.6,1002,31.8,35.9,28.4,65,46,1006.5,1007.5,1005.2,29.6,33.9,26.6,79,60,1010.2,1011.1,1008.6,25.3,29,20,62,38,1014.3,1015.9,1012.2,20.5,22.5,19.3,90,80,1020.6,1022.1,1019.1,16.5,22.7,10.7,80,41,1022.2,1030.7,1016.4,10.7,15.4,8.3,76,60
5,1023.8,1025.7,1022.3,5,12.9,-0.6,67,23,1025.6,1027.4,1024.3,0.8,2.6,-1.8,25,89,1026.5,1028.4,1024.2,8.6,14.8,3.2,44,19,1016.7,1018.4,1015.2,12.4,13.8,11,68,53,1012.1,1014.2,1009.3,19.5,23.8,13.3,52,21,1009,1010.2,1007.4,22,28,17.7,66,36,1002.1,1003.9,1000.3,32.9,38,28.6,63,38,1007.4,1008.8,1005.9,29.8,34.4,27,69,49,1010.8,1013.1,1009.3,22.6,24.5,19.2,87,67,1011.8,1013.8,1010.2,18.7,21.9,17.1,87,69,1017.7,1020.3,1016.1,18.5,21.7,14.9,83,70,1034.5,1037.3,1030.7,1.8,8.3,-1.7,44,22
6,1020.7,1023.8,1016.7,8.7,15.8,1.1,71,45,1027.4,1029.3,1026,0.6,3.6,-1.3,38,59,1024.9,1026.4,1023.4,9,13.2,3.7,57,38,1012.7,1016.8,1009.8,14.9,19.7,12,46,79,1010.7,1013.3,1008.3,21.4,26.8,16.9,33,14,1008.8,1010.4,1006.7,23.8,28.1,19.3,74,59,1003.4,1004.7,1001.6,33.3,38.7,28.5,60,31,1007.8,1008.9,1006.9,29.3,33.4,26.8,73,57,1014.4,1016,1013.2,24.5,27.6,22,78,60,1015,1017.2,1013.7,18.4,20.1,17.6,88,78,1015.3,1017.1,1013.6,18.5,21.9,16.9,90,69,1034.5,1036.8,1032.5,-0.5,5,-3.6,50,23
7,1020.2,1022.6,1018.7,8.9,13.6,5.3,65,35,1027.6,1028.9,1026.2,-0.8,3.9,-4.4,83,49,1028.8,1031,1026.4,7.9,11.6,6.2,63,38,1011.1,1012.4,1009.7,16.7,23.5,12.3,40,63,1007.4,1009.3,1004.4,22.2,30,15.7,51,24,1007.4,1008.8,1005.7,25,30.4,22.3,81,63,1005.6,1006.9,1004.1,31.6,36.3,28.1,63,42,1007.4,1008.6,1005.6,28.6,32.3,25.2,76,54,1015.7,1016.8,1013.7,24.6,28.3,22.1,81,58,1017.9,1019.6,1016.8,18.7,23.3,16.7,79,59,1016.3,1019,1014.6,15.4,17.4,13.3,96,88,1028.1,1033,1024,4.6,10.4,-2.6,43,21
8,1019.4,1021.5,1016.1,6.9,10.2,3.9,42,70,1027.5,1029.1,1026.4,0.3,4.8,-3.9,30,48,1026.6,1029.9,1023.5,5.2,6.7,2.9,81,52,1007.5,1011.6,999.8,14.2,15.7,13.1,72,88,1005.4,1006.7,1004.1,19,23,18,87,49,1007.8,1009.6,1006.1,24.7,28,21.9,78,64,1008.2,1009.2,1006.8,30.6,34.6,27.1,64,49,1006.1,1007.2,1004.5,28.3,31.9,24.3,70,38,1014.5,1015.9,1012.7,25.6,29.7,21.3,79,60,1018.1,1019.9,1016.2,21,26.2,16,74,55,1021.5,1024.6,1018.9,13.4,15.5,12.4,81,64,1022.7,1025.5,1019.2,9.8,15.6,5.5,51,28
9,1018.4,1020.4,1016.8,7.3,12,4.8,18,68,1029.6,1031.8,1027.9,-0.3,3.2,-2.4,60,33,1022.8,1024.9,1020.6,8.6,13.2,5.8,76,52,1001.6,1009.2,997.2,14.7,17,11.3,64,73,1008.4,1011.1,1006.5,16.6,18.8,14.9,85,69,1008.1,1009.2,1005.7,23.9,28,22,82,62,1007.9,1009.3,1005.4,30.5,34.4,27.2,65,52,1003.9,1005.2,1002.5,29.1,32.7,26.4,77,53,1013.1,1014.6,1011.4,26.1,30.3,23.4,77,57,1018.8,1020.2,1017.6,23,27.8,19.1,74,51,1025.6,1027.7,1024.3,11.1,15.4,8.4,70,51,1017.8,1019.8,1015.7,12.2,19.1,7.2,52,26
10,1017.4,1019.9,1014.5,10.3,13.3,7,24,97,1028.4,1030.3,1026,0.8,5.9,-4.1,75,43,1019.9,1022,1016.7,11.9,19.8,6.3,65,34,1013.3,1015.2,1009.2,14.6,20.2,9.9,73,45,1013.7,1016.3,1010.9,17.5,21.3,14.9,76,58,1005.5,1007.9,1003.2,21.7,22.5,21,91,86,1004.8,1007.1,1001.6,30.4,35.9,27.6,70,41,1003.3,1004.1,1002,27.2,30.3,25.2,81,70,1011.1,1013,1008.8,27.5,32.9,23,73,48,1019.3,1022.1,1017.4,22.1,25.6,20.6,79,61,1027,1028.9,1025.5,11,15.7,8.5,67,37,1018.4,1020.4,1016.7,14,21.9,6.9,43,19
