Date,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH
1,1033.7,1035.4,1032.7,0.1,3.5,-2.2,64,48,1025.1,1026.8,1022.4,8.1,14.4,1.9,83,58,1028.8,1030.7,1027.6,6.8,9.7,4.2,73,48,1028.9,1030.7,1027,8,12.4,3.6,58,33,1018.3,1019.7,1016.5,20.9,25.3,17.5,55,33,1004.1,1006,1001,26.4,33.2,19,55,21,1004.7,1006.1,1003,25.4,31.4,21.2,79,45,1004.8,1006.7,1003.2,25.5,27.6,23.9,90,80,1013.4,1014.5,1011.9,25.2,29.9,21.8,88,66,1014.1,1016.6,1011.8,22.6,25.3,20.9,93,78,1022.3,1026.5,1015.5,15.4,22.9,13.7,76,53,1027.6,1029.5,1025.7,5.8,11.1,1.3,82,56
2,1034.5,1036.2,1032.8,1.1,3.5,-0.6,64,53,1021.1,1023.8,1018.7,11.5,14.4,10.3,86,75,1027.6,1030.9,1022.9,5,6.9,3.5,83,76,1027.6,1030.6,1023.5,8.4,13.8,1.5,56,30,1016,1018.1,1015,18.6,23.7,16.7,78,49,1001.5,1002.7,999.6,22.9,26.1,20.4,77,57,1004.4,1005.9,1002.8,26.9,32.4,23.6,69,43,1001.6,1004.6,999,24.5,25.8,24.1,97,89,1013.1,1014.3,1011.8,26.2,30,23.8,82,63,1013.1,1014.6,1011.7,22.3,26.9,20.2,84,55,1033.6,1038.3,1026.4,9.8,14,6.3,62,39,1025.8,1027.8,1023.3,5.3,10,1.6,86,69
3,1030.1,1033.9,1026.4,2.8,8.7,-2.7,75,55,1021.6,1023.3,1020.2,8.5,10.3,7.6,87,78,1024.5,1027.3,1021,3.8,5.1,2.4,82,69,1020.5,1024.3,1018,11.6,13.9,9.3,69,58,1017.8,1019.6,1016.6,17.2,21.7,15.5,84,64,1001.1,1002.4,1000,23.8,29.9,18.8,74,41,1004,1005.2,1002.5,27.2,32.1,21.3,65,35,1002,1003.8,1000.7,26.1,29.4,24.2,86,68,1012.1,1014.2,1010.1,26.4,30.1,23.6,80,63,1015.1,1016.8,1014.1,21.7,27.1,17.8,77,35,1035.2,1038.6,1031.4,8.4,14.4,3.5,61,42,1026.8,1028.7,1025.3,6.6,10.1,4.6,73,38
4,1026.5,1028.1,1025.1,5.2,5.9,4.7,90,71,1021.3,1023.1,1019.6,8.5,9.3,7.6,93,88,1020.7,1024.5,1018,5.2,8,1.1,82,68,1019.5,1021.1,1018.3,11.9,13.1,11.1,90,72,1017.6,1019.1,1015.7,17.3,22.7,12.7,79,48,1001.3,1004.3,999,25.3,31.3,20.6,65,22,1005.5,1006.9,1003.9,27.9,33.2,24.2,66,39,1003.8,1004.9,1002.8,26.8,29.4,24.9,88,75,1009.6,1011.5,1007.1,26.9,30.9,23.9,80,61,1016.4,1018,1015,22.4,27.2,15.2,60,37,1027.9,1031.9,1024.4,14.9,20.8,8.1,62,42,1022.8,1027.3,1018.5,6.5,12.5,0.7,70,39
5,1028.2,1030.2,1026.6,5.3,6.9,3.9,86,79,1023.1,1025.3,1020.9,9.4,12,7.9,85,66,1015.5,1019.3,1012.9,7.6,8.1,6.6,84,76,1020.7,1022.7,1019.4,12.6,17.4,8.6,75,47,1017.1,1018.5,1015.5,19.3,25.3,13.1,72,22,1000.2,1002.6,997.6,23.6,30,18.3,67,30,1007.9,1008.8,1006.8,27.5,32.1,23.9,69,48,1003.3,1004.5,1002.1,26.9,30.7,25.5,90,74,1006.9,1008.6,1004.7,27.6,31.5,24.9,77,56,1016,1017.5,1014.4,22.1,27.3,18.5,73,49,1022.2,1025.2,1019.2,16.3,23.5,12,72,31,1024.1,1027.1,1019.9,5.8,9.4,2.4,60,27
6,1028.3,1029.8,1027,4,5.8,2.3,85,76,1024.3,1026,1021.7,9.2,12.2,7.3,78,61,1023.5,1027,1018.5,7.4,12.2,3.8,71,32,1018.9,1021.5,1016,14,20.8,7.3,71,33,1016.2,1018,1014.1,20.3,27.1,11.8,53,19,1002.6,1004.1,1000.7,23.2,28.8,17.3,75,48,1007.3,1009.6,1004.5,28,34,25.4,78,57,1004,1004.9,1003.3,25.9,28,24.7,90,78,1006.6,1007.5,1005.5,27.5,31.7,23.3,72,53,1016.7,1017.9,1015.9,21.2,26.5,17.7,77,47,1016.8,1020.3,1014.1,19,25.5,12.8,70,41,1025.2,1026.7,1023.7,6.2,11.7,-0.3,63,32
7,1030.5,1032.1,1029.3,3.2,5,1.2,83,71,1022.8,1024.8,1021.7,8.9,12.6,5.5,76,59,1024.6,1027.6,1021.1,5.9,8.5,1.6,66,51,1018.1,1019.8,1016.8,16.5,20.9,12,50,31,1012.5,1015.1,1009.3,22.2,30.2,12.8,45,17,1004.7,1005.8,1003.3,24.3,29.5,20.8,71,52,1004.9,1006.3,1003.7,27.1,28.3,25.5,88,75,1003,1004.7,1001.4,27.6,30.4,25.8,89,76,1008.3,1009.8,1007.5,26.5,30.4,23.4,77,57,1014.7,1016.8,1012.7,20.4,25.4,16.3,69,46,1012.8,1014.9,1010.5,21.6,25,19.3,80,65,1025,1026.4,1023.4,10.8,15.6,4,66,44
8,1030.8,1032.3,1029.1,3.5,6.4,2.3,71,44,1024.6,1027.2,1021,8,11.8,4.8,78,60,1020.1,1022.8,1016.9,7.8,12.4,2.8,71,54,1019.8,1021.9,1018,16.6,22,10.3,48,19,1009.9,1011.4,1007.6,24.7,32.2,17.7,35,18,1006.3,1008.2,1004.7,24.8,27.9,22.7,76,64,1004,1006,1001.5,30.5,35.6,25.5,71,47,1001,1002.8,999.6,28.5,31.7,27,83,69,1010.3,1011.7,1009.2,24.9,27.6,22.8,75,64,1013.6,1015.1,1012.4,20.4,24.9,17.7,66,42,1011,1012.4,1009.7,22.4,27.8,19.7,79,50,1021.4,1024.7,1019.1,12.5,14.7,11.2,83,65
9,1030.8,1033.1,1029.5,1.7,3.5,-0.3,66,42,1019.9,1021.6,1017,8.4,9.5,7.2,81,69,1019.4,1020.9,1018.1,11.5,18,7.1,62,21,1021.9,1023.7,1020.1,15.6,22.7,8.5,57,25,1007.9,1009.4,1005.5,25.7,33.3,19.4,36,17,1004.1,1006.3,1001.7,22.8,25.1,21.8,93,77,1001.7,1002.8,1000.7,31.7,36.1,27.9,67,45,1000.2,1001.5,998.7,26.9,28.8,25.5,85,75,1012,1013.7,1011.1,24,28.3,21,67,42,1014.9,1016.9,1013.1,19.8,22.6,18.5,77,62,1009.7,1012.1,1005,19.4,21.8,17.7,92,77,1019.7,1021,1017.6,9.7,12.5,9.1,88,80
10,1032.2,1034.5,1028.6,-1.5,1.8,-4.1,44,30,1018.2,1022,1013.3,9.5,15.2,5.6,74,47,1021,1023.3,1018.9,10.7,14.8,7.3,74,56,1019.6,1021.5,1017,15.4,23,9,80,33,1007.3,1009,1005.4,26.2,34.2,19.9,47,21,1003.6,1004.3,1002.5,24.5,27.6,22.1,83,68,1004.2,1005.1,1002.8,27.8,31.3,24.7,78,66,996.8,999.9,994.9,27.1,29.6,25.2,92,81,1011.6,1012.7,1009.9,24.6,29.1,19.9,70,47,1019.1,1021.6,1016.9,20,24.2,17.3,69,42,1006.6,1013.5,1002.8,16.3,19.6,13.9,90,85,1017.6,1020,1015.6,9.5,10.2,8.8,91,83
