Date,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH
1,1021.2,1025.9,1016.9,4.3,10.4,-1.5,58,42,1020.1,1023.4,1016,6.1,8.9,4.6,82,59,1013.9,1018.5,1007.2,7.5,12.3,4.2,86,79,1012.3,1020.2,1006.5,11.2,15.9,8.1,89,81,1015.9,1018.2,1012.9,19.9,27.3,13.9,57,21,1013.6,1014.9,1012.2,20.2,23.9,17.7,67,50,1002.2,1004,1000.2,31.4,35.8,27.9,69,53,1005.8,1007.4,1003.9,33.5,37.5,29.6,63,47,1005.8,1007.9,1003.8,27.3,30.9,25.1,90,71,1019,1020.4,1016.8,19.7,23.8,14.4,77,58,1024.4,1025.8,1022.9,12.7,20.2,7.8,74,26,1018.4,1020.7,1015.9,12.3,17.2,8.8,86,64
2,1017.8,1021.7,1016.2,7.7,12.2,4.2,67,49,1023.3,1024.6,1021.2,4.6,6.5,3,77,65,1018.4,1021.9,1015.2,5.1,6.8,4.4,84,78,1022.8,1024.6,1020.2,9.7,14.9,5.5,56,16,1012.2,1014.3,1009.5,23.4,31,16.6,66,35,1014.8,1015.8,1014,20.3,24.7,17.3,65,45,1000,1001.6,998.7,32,36.4,29,69,49,1006.6,1008.3,1004.4,34.1,38,30.7,62,46,1009.4,1010.8,1007.9,28.8,32.3,25.5,82,65,1015.1,1017.9,1013.5,20.5,22.8,18.7,89,75,1025.5,1027.7,1023.5,13,16.9,10.3,74,55,1015.9,1018,1014.6,15.9,20.6,12.4,73,43
3,1020.3,1022.8,1015.8,6.4,11.8,2.8,74,52,1025.8,1027,1024.5,4.8,7.8,1.7,74,46,1018.8,1023.4,1013.6,5.5,6.4,4.1,91,84,1024,1026,1021.6,11.7,17,5.2,50,24,1011.3,1013.2,1009.5,24.2,30.8,19.5,60,33,1015.8,1016.8,1014.5,20.4,24.5,16.4,74,55,999.9,1000.8,998.4,28.8,34.4,26.6,84,62,1004.1,1006.3,1001.8,33.9,38.8,30.3,64,41,1009.1,1011.1,1007.2,30.1,34.2,27.1,69,51,1015.9,1017.6,1014.3,20.6,25.9,17.9,76,42,1027.2,1029.2,1025.2,11,16.6,6.9,75,46,1024.7,1027.8,1018,9.3,15.9,5.5,51,15
4,1018,1025.4,1013.8,5.1,8,0.6,73,47,1025.6,1027.4,1023,6.1,9,4.5,68,53,1014.5,1017.3,1011.3,6.7,7.5,6.3,87,77,1017.2,1022.1,1013.1,11.7,14.6,9.9,74,48,1008.7,1011.8,1005,22.8,27.9,19.6,67,51,1014.4,1015.8,1013.2,21.6,25.3,19.4,76,57,1000.5,1001.5,999.3,28.1,31.5,26.1,89,72,1003.4,1005.1,1002.4,30.9,38,26.3,71,44,1009.4,1011,1008.6,28.9,33.3,26.5,75,53,1017.8,1019.5,1016.3,19.4,24.3,14.9,58,27,1025.4,1026.9,1023.4,12.7,18.6,6.9,74,38,1020.5,1024.6,1016.7,11.9,17.4,5,59,34
5,1028,1029.8,1025.4,-1.4,2,-3,60,49,1024.2,1025.9,1022.7,7.1,9.1,6,67,58,1015.8,1018.4,1010.9,6.1,7.2,4.8,92,80,1013.8,1015.5,1011.8,12.9,20.8,7.7,84,46,1003.4,1005.8,1001.6,21.6,24.3,19.3,83,68,1013.3,1014.7,1011.3,22.4,27.1,17.6,64,38,1000,1001.2,999.1,28.5,33.2,26.3,79,53,1006,1008.6,1004,31.4,35.5,28.3,67,47,1008.2,1010.1,1005.7,28.2,32,25.6,82,61,1017.8,1019.1,1016.4,18.4,24.5,13.1,64,28,1023.6,1025.5,1021.3,13.4,19.8,7.9,78,47,1014.9,1016.9,1012.6,13.9,21.4,10.3,68,32
6,1028.9,1030.6,1027.9,0.3,4.6,-1.6,63,42,1025.1,1026.9,1023.6,6.9,8.2,5.8,75,65,1022.5,1026.5,1016.7,3.8,6.9,1.9,87,78,1017.5,1024.1,1013,11.5,14.4,8.2,82,72,1007.4,1010.7,1004.3,20.9,28,16.9,69,44,1011.8,1013.2,1010,22.5,28.2,16.9,67,34,1001.5,1003.2,1000.2,27.9,31.2,25.4,74,52,1009.9,1011.4,1007.9,29.8,34.4,27.8,74,54,1006.4,1007.5,1005.2,28.2,32.7,25.2,80,58,1017.9,1019.6,1016.2,18.7,23.6,12.3,64,40,1020.6,1022.6,1018.2,15.8,21,9.4,68,47,1021.1,1027.1,1014.7,9.2,12.8,6,72,53
7,1030.1,1032.2,1028.5,-0.6,4,-3.6,70,46,1021.2,1026,1018.8,8.8,10.6,5.8,91,82,1027.2,1028.7,1025.4,3.4,6.9,1.7,70,56,1026.4,1028.9,1024.1,9.4,13.4,5.7,49,29,1010.8,1012.9,1008.6,19.4,24.5,12.5,52,29,1012.3,1013.5,1010.6,22.8,28.8,17.5,67,33,1004.9,1006.2,1003.2,28.6,34.3,24.2,66,49,1009.7,1011.8,1007.3,30.3,34.4,27.4,67,42,1007,1008.1,1005.5,28.9,32.7,25.3,74,58,1016.8,1018.4,1015,20.5,24.2,15.3,65,52,1018.4,1020.4,1016.3,16.2,21.8,11.9,74,43,1024,1027.2,1019.6,4.7,8.8,2.2,54,24
8,1027.3,1029.5,1024.5,0.9,5.4,-1.1,64,36,1016.9,1019.9,1012.8,11.8,17.8,7.6,85,65,1027.6,1028.9,1025.9,4.4,5.8,3.1,85,69,1021.7,1027.1,1017.7,9,11.8,6.7,66,53,1008.8,1010.5,1006.2,17.5,21.2,15.9,58,38,1012.1,1013.5,1011.1,22.8,26.1,20.6,65,48,1005.5,1007.2,1003.7,27.7,31.6,24.4,70,47,1006.5,1009.4,1003.7,29.7,33.7,26.4,67,49,1008.1,1009.4,1006.5,30.5,35.1,26.8,69,49,1014.4,1016.8,1012,21.4,25.8,17.1,73,48,1021.1,1024,1017.9,13.1,18.5,9.4,67,24,1016.1,1019.7,1013,7.3,13.8,1.7,49,27
9,1024.4,1026.2,1022.1,2.9,7.7,-1.4,73,59,1011.5,1014.9,1009,14.2,19.7,9.3,86,69,1031.3,1033.4,1028.2,0.8,4,-0.8,79,55,1015.6,1019.1,1011.8,10.1,12.8,7.9,91,77,1007,1008.8,1005.2,14.8,16.9,13.5,86,49,1009.3,1011.3,1007.2,19.8,22.1,18.6,83,69,1003.9,1005.2,1002.1,26.8,31.3,25.2,82,61,1003.4,1005.2,1001.7,30,33,27,73,58,1009.3,1010.7,1007.7,30.8,34.8,27.6,67,49,1012.1,1013.4,1010.2,20.9,26,16.2,78,49,1023.4,1025.9,1020.1,12.9,18.5,6.9,55,25,1018.6,1021,1015.9,7.2,13.5,1.2,58,26
10,1024.7,1026.8,1022.4,4.6,5.6,1.1,90,69,1014,1017,1009.5,7.7,15.1,5.5,90,82,1030.5,1033.2,1026.9,1.8,6.3,-2.6,44,30,1012.2,1015.3,1010.2,11.5,15.2,9.4,87,76,1010.6,1012.5,1008.7,17.8,22.7,13.2,64,42,1008.6,1009.5,1007.6,21.4,25.2,19.6,84,61,1002.6,1004.1,1001.1,28.1,31.5,26,79,64,1002.3,1003.7,1001.3,29.9,34,27.1,77,59,1006.8,1008.8,1004.1,27.5,31.5,26.6,83,64,1013,1014.6,1011.8,21.5,25.9,16.3,70,48,1019.2,1020.7,1017.4,16.1,22.7,10.6,51,30,1012.5,1015.9,1009.8,11.5,19,8.3,54,27
